BU Breakdown YTD,R&WO,WS,CrOp,S&OP,C/S,GP,Fraud,Other,YTD Total
CMU 1,"-£5,177,204","£6,053,246","£7,324,421","£848,662","£6,185,788","£175,483","£4,437,194","-£5,901,323","-£7,196,342.0"
CMU 2,"-£3,078,878","£79,813","£1,200,202","-£1,544,313","-£5,291,301","-£1,495,406","£2,853,590","£7,751,900","£17,074,488.0"
CMU 3,"-£6,663,317","£466,469","£5,380,679","-£2,538,474","-£1,864,961","£2,185,401","-£3,424,598","£7,668,049","£5,358,390.0"
CMU 4,"£3,052,221","-£2,402,248","£3,077,265","-£138,791","-£2,997,250","-£6,876,752","£4,536,282","-£4,815,914","-£19,520,929.0"
CMU 5,"-£4,568,966","£672,232","£2,013,017","£5,950,261","£3,432,369","-£218,781","£7,663,167","-£5,891,058","-£6,464,361.0"
CMU 6,"-£6,710,873","£7,865,603","-£4,741,101","£21,837","£3,510,269","-£6,686,917","£5,108,147","-£7,619,006","£14,020,104.0"
CMU 7,"-£7,700,024","£742,627","-£7,498,896","£1,703,092","-£4,833,602","-£844,290","£4,124,656","£4,209,420","-£3,946,551.0"
CMU 8,"-£4,151,496","-£1,413,538","£818,267","£5,847,434","-£1,679,860","-£5,988,175","£7,964,900","-£649,104","£7,452,443.0"
Total,"-£34,998,537","£12,064,204","£7,573,854","£10,149,708","-£3,538,548","-£19,749,437","£33,263,338","-£5,247,036","£21,814,161"
,,,,,,,,,
BU Breakdown Monthly,R&WO,WS,CrOp,S&OP,C/S,GP,Fraud,Other,Monthly Total
CMU 1,"-£431,434","£504,437","£610,368","£70,722","£515,482","£14,624","£369,766","-£491,777","-£599,695.17"
CMU 2,"-£256,573","£6,651","£100,017","-£128,693","-£440,942","-£124,617","£237,799","£645,992","£1,422,874.00"
CMU 3,"-£555,276","£38,872","£448,390","-£211,540","-£155,413","£182,117","-£285,383","£639,004","£446,532.50"
CMU 4,"£254,352","-£200,187","£256,439","-£11,566","-£249,771","-£573,063","£378,024","-£401,326","-£1,626,744.08"
CMU 5,"-£380,747","£56,019","£167,751","£495,855","£286,031","-£18,232","£638,597","-£490,922","-£538,696.75"
CMU 6,"-£559,239","£655,467","-£395,092","£1,820","£292,522","-£557,243","£425,679","-£634,917","£1,168,342.00"
CMU 7,"-£641,669","£61,886","-£624,908","£141,924","-£402,800","-£70,358","£343,721","£350,785","-£328,879.25"
CMU 8,"-£345,958","-£117,795","£68,189","£487,286","-£139,988","-£499,015","£663,742","-£54,092","£621,036.92"
Total,"-£2,916,545","£1,005,350","£631,155","£845,809","-£294,879","-£1,645,786","£2,771,945","-£437,253","£564,770"
,,,,,,,,,
Group Operations Montly Performance,Actual,Target,,,,,,,
1/12/2012,58.0,62.64,,,,,,,
2/12/2012,57.42,51.678,,,,,,,
3/12/2012,57.42,55.6974,,,,,,,
4/12/2012,52.2522,59.044986,,,,,,,
5/12/2012,56.432376,66.59020368,,,,,,,
6/12/2012,55.86805224,62.0135379864,,,,,,,
7/12/2012,56.4267327624,66.019277332008,,,,,,,
8/12/2012,58.119534745272,55.2135580080084,,,,,,,
9/12/2012,54.051167313103,51.3486089474478,,,,,,,
10/12/2012,57.8347490250202,68.823351339774,,,,,,,
11/12/2012,56.6780540445198,63.4794205298622,,,,,,,
YTD,620.502866130315,662.5483438235,,,,,,,
